[''],['']
['Result #1'],['']
['API'],['31734736']
['GIS WELL NUMBER'],['2']
['GIS SYMBOL DESCRIPTION'],['Oil Well']
['GIS LOCATION SOURCE'],['Operator reported location - Distances and Plat']
['GIS LAT (NAD27)'],['3400734.090551']
['GIS LONG (NAD27)'],['2383569.171588']
['GIS LAT (NAD83)'],['32.255369']
['GIS LONG (NAD83)'],['-101.998335']
[''],['Well Logs']
