[''],['']
['Result #1'],['']
['API'],['31730322']
['GIS WELL NUMBER'],['2']
['GIS SYMBOL DESCRIPTION'],['Plugged Oil Well']
['GIS LOCATION SOURCE'],['Commission`s hardcopy map']
['GIS LAT (NAD27)'],['32.249319']
['GIS LONG (NAD27)'],['-101.997741']
['GIS LAT (NAD83)'],['32.249435']
['GIS LONG (NAD83)'],['-101.998158']
[''],['Well Logs']
