,
Result #1,
API,31734157
GIS WELL NUMBER,3
GIS SYMBOL DESCRIPTION,Oil Well
GIS LOCATION SOURCE,Operator reported location - Distances and Plat
GIS LAT (NAD27),3399781.784121
GIS LONG (NAD27),2385451.480315
GIS LAT (NAD83),32.252840
GIS LONG (NAD83),-101.992180
,Well Logs
